what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300091361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300320848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300322597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300354380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300407031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300612575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300627110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300650156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300753367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300753647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338300788503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338303788775
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338303797725
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1338303800225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338303803005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338303979776
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338303979901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338304180894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304714477
error,log,,,"vv [in Game [in [Working copy] Game.java [in javagame [in src [in Ham Blaster]]]]] does not exist",1338304718524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304732642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304776696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304786365
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1338304802526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304808688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304813805
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338304817300
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1338304819172
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338304819562
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1338304819905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338304819998
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1338304827455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338304830123
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1338304836878
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1338304836971
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1338304838734
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1338304839374
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1338304840013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338304867875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338306142305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338306153570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338306509715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338306513913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308379862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308662315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308711173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308763257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308763470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308940816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338308945840
